--------- beginning of main
--------- beginning of system
08-03 18:09:51.181  9573 19232 D CustomInterceptor: PREFLIB Adding response to lrucache - https://images.fastcompany.net/image/upload/w_1280,q_auto,f_auto,fl_lossy/wp-cms/uploads/2020/07/p-1-90532920-this-chart-shows-how-effective-masks-can-be.png
08-03 18:09:51.187  9573 19228 D CustomInterceptor: Interceptor exiting with exception java.io.IOException: unexpected end of stream on https://www.newsblur.com/...
08-03 18:09:51.191  9573 19228 D CustomInterceptor: interceptor_finished : return_type #4 : interceptor failed, resuming the request chain with the original request
08-03 18:09:51.210  9573 19232 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:51.314  9573 19231 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:51.315  9573 19231 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Accept-Ranges bytes
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Content-Length 243
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Content-Type image/png
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:47 GMT
08-03 18:09:51.315  9573 19231 D CustomInterceptor: ETag "ff3726165bbd11816de674a75693fba7"
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:51 GMT+00:00
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Last-Modified Sun, 02 Aug 2020 16:23:43 GMT
08-03 18:09:51.315  9573 19231 D CustomInterceptor: Server AmazonS3
08-03 18:09:51.315  9573 19231 D CustomInterceptor: x-amz-id-2 wne6NNWwn08ntKiKKy9kUukC8PyYkR/ZQjdI2daB9u3xPvfEXggbnrzXM/bpIcjfZt7xqxMiHNE=
08-03 18:09:51.315  9573 19231 D CustomInterceptor: x-amz-request-id 8C96FD80B0A0B0DD
08-03 18:09:51.315  9573 19231 D CustomInterceptor: CACHEABLE true
08-03 18:09:51.315  9573 19231 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 18:09:51.315  9573 19231 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:51.315  9573 19231 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/18178.png
08-03 18:09:51.318  9573 19233 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:51.320  9573 19233 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Accept-Ranges bytes
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Content-Length 477
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Content-Type image/png
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:47 GMT
08-03 18:09:51.320  9573 19233 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:51 GMT+00:00
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Last-Modified Mon, 03 Aug 2020 15:46:45 GMT
08-03 18:09:51.320  9573 19233 D CustomInterceptor: Server AmazonS3
08-03 18:09:51.320  9573 19233 D CustomInterceptor: x-amz-id-2 94Rwk5ojWxCqHXBHdbTnIfMwWvr8BoPO9FIAVluZq4vB828m+Cmx0ha8bhtO/NPhl223fsMKZj0=
08-03 18:09:51.320  9573 19233 D CustomInterceptor: x-amz-request-id 0EA63B351126C2AD
08-03 18:09:51.320  9573 19233 D CustomInterceptor: CACHEABLE true
08-03 18:09:51.320  9573 19233 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 18:09:51.320  9573 19233 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:51.320  9573 19233 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/5762506.png
08-03 18:09:51.325  9573 19229 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-03 18:09:51.327  9573 19229 D CustomInterceptor: HEADER RESPONSE
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Accept-Ranges bytes
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Content-Length 145
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Content-Type image/png
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Date Mon, 03 Aug 2020 16:09:47 GMT
08-03 18:09:51.327  9573 19229 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Expires Mon, 03 Aug 2020 16:14:51 GMT+00:00
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Last-Modified Sun, 02 Aug 2020 12:16:33 GMT
08-03 18:09:51.327  9573 19229 D CustomInterceptor: Server AmazonS3
08-03 18:09:51.327  9573 19229 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-03 18:09:51.327  9573 19229 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-03 18:09:51.327  9573 19229 D CustomInterceptor: CACHEABLE true
08-03 18:09:51.327  9573 19229 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 18:09:51.327  9573 19229 D CustomInterceptor: REQ_SERV_BY net
08-03 18:09:51.327  9573 19229 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-03 18:09:51.340  9573 19231 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:51.342  9573 19233 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:09:51.349  9573 19229 D CustomInterceptor: interceptor_finished : return_type #3 : request served from remote and added to cache
08-03 18:10:00.791  9573 19231 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 18:10:00.792  9573 19231 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.792  9573 19231 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:10:00.792  9573 19231 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '11', toString = 'LruCache[maxSize=100,hits=8,misses=11,hitRate=42%]', 
08-03 18:10:00.792  9573 19231 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:10:00.812  9573 19229 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 18:10:00.812  9573 19233 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 18:10:00.813  9573 19233 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.813  9573 19229 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.813  9573 19233 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:10:00.813  9573 19229 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:10:00.814  9573 19233 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-03 18:10:00.814  9573 19229 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '12', toString = 'LruCache[maxSize=100,hits=8,misses=12,hitRate=40%]', 
08-03 18:10:00.814  9573 19233 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:10:00.814  9573 19229 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:10:00.814  9573 19226 D CustomInterceptor: NETWORK-PROVIDER https://www.newsblur.com/rss_feeds/icon/0
08-03 18:10:00.815  9573 19226 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.815  9573 19226 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:10:00.815  9573 19226 D CustomInterceptor: CACHED STATS: size = '8', maxSize = '100', hitCount = '8', createCount = '0', putCount = '8', evictionCount = '0', missCount = '14', toString = 'LruCache[maxSize=100,hits=8,misses=14,hitRate=36%]', 
08-03 18:10:00.815  9573 19226 D CustomInterceptor: PREFLIB NOT A GET REQUEST OR NOT IN CACHEGET
08-03 18:10:00.828  9573 19228 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 18:10:00.828  9573 19227 D CustomInterceptor: NETWORK-PROVIDER https://www.gravatar.com/avatar/f5934485a0863578733c447016505547
08-03 18:10:00.829  9573 19227 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.829  9573 19228 D CustomInterceptor: HEADER REQUEST
08-03 18:10:00.829  9573 19227 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
08-03 18:10:00.829  9573 19228 D CustomInterceptor: Cache-Control max-age=300, max-stale=300
