--------- beginning of main
--------- beginning of system
08-05 12:34:55.703  4395 24596 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 12:34:55.705  4395 24596 D CustomInterceptor: HEADER RESPONSE
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Accept-Ranges bytes
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Content-Length 145
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Content-Type image/png
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Date Wed, 05 Aug 2020 10:34:52 GMT
08-05 12:34:55.705  4395 24596 D CustomInterceptor: ETag "b48046b4e0d289b5a850262f03eb2d2d"
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Expires Wed, 05 Aug 2020 10:39:55 GMT+00:00
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Last-Modified Tue, 04 Aug 2020 06:41:38 GMT
08-05 12:34:55.705  4395 24596 D CustomInterceptor: Server AmazonS3
08-05 12:34:55.706  4395 24600 D CustomInterceptor: CACHE_CONTROL SETTING NEW MAX-AGE
08-05 12:34:55.706  4395 24596 D CustomInterceptor: x-amz-id-2 nDiDQANtDNVqEPucOfLtnn1Sx7gr+QY+8aAbQ7XZXU86Z7PKjjK674CpOsLT5+9Veg1xKpYxLtE=
08-05 12:34:55.706  4395 24596 D CustomInterceptor: x-amz-request-id 6Z1W4S4Z6X7N1J4P
08-05 12:34:55.706  4395 24596 D CustomInterceptor: CACHEABLE true
08-05 12:34:55.706  4395 24596 D CustomInterceptor: REQ https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 12:34:55.706  4395 24596 D CustomInterceptor: REQ_SERV_BY net
08-05 12:34:55.706  4395 24596 D CustomInterceptor: PREFLIB Adding response to lrucache - https://s3.amazonaws.com/icons.newsblur.com/6882243.png
08-05 12:34:55.706  4395 24600 D CustomInterceptor: HEADER RESPONSE
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Accept-Ranges bytes
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Cache-Control public, immutable, max-age=300, only-if-cached, max-stale=300
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Content-Length 477
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Content-Type image/png
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Date Wed, 05 Aug 2020 10:34:52 GMT
08-05 12:34:55.707  4395 24600 D CustomInterceptor: ETag "c9bf1f07378831e51f45ddc262f16afc"
08-05 12:34:55.707  4395 24600 D CustomInterceptor: Expires Wed, 05 Aug 2020 10:39:55 GMT+00:00
